Week_Number;Customer;Volume
1;contemn;4603
2;contemn;7589
3;contemn;7710
4;contemn;7432
5;contemn;7478
6;contemn;7602
7;contemn;7222
8;contemn;7161
9;contemn;7480
10;contemn;7671
11;contemn;7567
12;contemn;8036
13;contemn;7968
14;contemn;8558
15;contemn;7780
16;contemn;7237
17;contemn;7541
1;cynurus;8
2;cynurus;36
3;cynurus;115
4;cynurus;127
5;cynurus;245
6;cynurus;181
7;cynurus;82
8;cynurus;128
9;cynurus;159
10;cynurus;198
11;cynurus;236
12;cynurus;216
13;cynurus;158
14;cynurus;167
15;cynurus;127
16;cynurus;119
17;cynurus;271
1;dacryon;8876
2;dacryon;15714
3;dacryon;12311
4;dacryon;7528
5;dacryon;13298
6;dacryon;12879
7;dacryon;7824
8;dacryon;3109
9;dacryon;13494
10;dacryon;8991
11;dacryon;15546
12;dacryon;11318
13;dacryon;10522
14;dacryon;3551
15;dacryon;15096
16;dacryon;11936
17;dacryon;12501
3;daro;335
4;daro;289
5;daro;252
6;daro;301
7;daro;319
8;daro;280
9;daro;314
10;daro;317
11;daro;177
12;daro;250
13;daro;252
14;daro;288
15;daro;249
16;daro;121
17;daro;225
1;doubter;80
2;doubter;16
3;doubter;11
4;doubter;240
5;doubter;107
6;doubter;96
7;doubter;80
8;doubter;54
9;doubter;126
10;doubter;103
11;doubter;12
12;doubter;123
13;doubter;129
14;doubter;123
15;doubter;18
16;doubter;86
17;doubter;9
1;drawbar;15268
2;drawbar;13321
3;drawbar;11453
4;drawbar;12147
5;drawbar;12261
6;drawbar;8881
7;drawbar;4719
8;drawbar;14425
9;drawbar;5815
10;drawbar;7701
11;drawbar;7911
12;drawbar;9241
13;drawbar;9640
14;drawbar;9776
15;drawbar;10160
16;drawbar;6608
17;drawbar;16073
1;ebonise;1182
2;ebonise;1563
3;ebonise;1229
4;ebonise;1397
5;ebonise;1016
6;ebonise;1466
7;ebonise;993
8;ebonise;1033
9;ebonise;1202
10;ebonise;1369
11;ebonise;920
12;ebonise;1433
13;ebonise;1292
14;ebonise;1278
15;ebonise;1105
16;ebonise;1014
17;ebonise;1374
1;engager;28
8;engager;45
9;engager;1
1;enskyed;489
2;enskyed;604
3;enskyed;563
4;enskyed;425
5;enskyed;704
6;enskyed;674
7;enskyed;608
8;enskyed;562
9;enskyed;691
10;enskyed;611
11;enskyed;666
12;enskyed;618
13;enskyed;721
14;enskyed;791
15;enskyed;629
16;enskyed;579
17;enskyed;693
1;eroding;34
2;eroding;221
3;eroding;183
4;eroding;264
5;eroding;219
6;eroding;106
7;eroding;194
8;eroding;144
9;eroding;190
10;eroding;135
11;eroding;226
12;eroding;278
13;eroding;390
14;eroding;338
15;eroding;461
16;eroding;334
17;eroding;597
1;etching;657
2;etching;689
3;etching;556
4;etching;423
5;etching;382
6;etching;276
7;etching;360
8;etching;311
9;etching;272
10;etching;405
11;etching;322
12;etching;275
13;etching;368
14;etching;284
15;etching;363
16;etching;299
17;etching;355
6;eyespot;289
7;eyespot;147
8;eyespot;164
9;eyespot;110
10;eyespot;123
12;eyespot;197
13;eyespot;20
14;eyespot;78
15;eyespot;55
16;eyespot;82
17;eyespot;42
1;fergana;7370
2;fergana;14360
3;fergana;13218
4;fergana;12506
5;fergana;12385
6;fergana;13560
7;fergana;13014
8;fergana;13075
9;fergana;14115
10;fergana;14333
11;fergana;13856
12;fergana;14184
13;fergana;13614
14;fergana;13776
15;fergana;13809
16;fergana;10840
17;fergana;12707
1;ferrari;178
2;ferrari;274
3;ferrari;221
4;ferrari;131
5;ferrari;150
6;ferrari;201
7;ferrari;137
8;ferrari;106
9;ferrari;131
10;ferrari;252
11;ferrari;186
12;ferrari;166
13;ferrari;196
14;ferrari;220
15;ferrari;193
16;ferrari;167
17;ferrari;169
1;fleecer;135
2;fleecer;108
3;fleecer;84
4;fleecer;101
5;fleecer;139
6;fleecer;115
7;fleecer;15
8;fleecer;121
9;fleecer;133
10;fleecer;143
11;fleecer;127
12;fleecer;169
13;fleecer;196
14;fleecer;262
15;fleecer;298
16;fleecer;232
17;fleecer;289
1;flunkey;942828
2;flunkey;963940
3;flunkey;870492
4;flunkey;877722
5;flunkey;863211
6;flunkey;831944
7;flunkey;829064
8;flunkey;776155
9;flunkey;780685
10;flunkey;799577
11;flunkey;784354
12;flunkey;831751
13;flunkey;857086
14;flunkey;863968
15;flunkey;869645
16;flunkey;745441
17;flunkey;863191
1;flunkey_0001;777
2;flunkey_0001;1447
3;flunkey_0001;1130
4;flunkey_0001;1185
5;flunkey_0001;1165
6;flunkey_0001;1140
7;flunkey_0001;997
8;flunkey_0001;1105
9;flunkey_0001;1701
10;flunkey_0001;1520
11;flunkey_0001;1507
12;flunkey_0001;1277
13;flunkey_0001;1255
14;flunkey_0001;1041
15;flunkey_0001;1170
16;flunkey_0001;1189
17;flunkey_0001;1081
1;fordone;22507
2;fordone;30723
3;fordone;20231
4;fordone;19039
5;fordone;16330
6;fordone;15079
7;fordone;9976
8;fordone;11502
9;fordone;10189
10;fordone;14768
11;fordone;11653
12;fordone;13735
13;fordone;16985
14;fordone;18235
15;fordone;15855
16;fordone;11974
17;fordone;17928
1;fumette;69
2;fumette;92
3;fumette;173
4;fumette;164
5;fumette;104
6;fumette;130
7;fumette;102
8;fumette;92
9;fumette;133
10;fumette;195
11;fumette;76
12;fumette;134
13;fumette;196
14;fumette;146
15;fumette;113
16;fumette;73
17;fumette;85
3;gingham;227
6;gingham;80
7;gingham;41
8;gingham;22
9;gingham;33
10;gingham;32
11;gingham;116
12;gingham;18
14;gingham;58
15;gingham;1
16;gingham;13
17;gingham;12
1;golding;32461
2;golding;28673
3;golding;19276
4;golding;20899
5;golding;19382
6;golding;16088
7;golding;12416
8;golding;10130
9;golding;14112
10;golding;12809
11;golding;13033
12;golding;12347
13;golding;16076
14;golding;15055
15;golding;17530
16;golding;23713
17;golding;16798
1;gonadal;2
3;gonadal;71
4;gonadal;35
5;gonadal;37
6;gonadal;21
8;gonadal;51
9;gonadal;3
11;gonadal;61
12;gonadal;23
13;gonadal;38
14;gonadal;83
15;gonadal;7
2;gossipy;16
3;gossipy;4
4;gossipy;25
5;gossipy;29
6;gossipy;17
7;gossipy;8
8;gossipy;15
9;gossipy;68
10;gossipy;24
11;gossipy;42
12;gossipy;27
13;gossipy;2
15;gossipy;75
16;gossipy;44
17;gossipy;11
1;grafton;4120
2;grafton;3087
3;grafton;3274
4;grafton;2977
5;grafton;3305
6;grafton;2939
7;grafton;3077
8;grafton;3109
9;grafton;3459
10;grafton;3708
11;grafton;3345
12;grafton;3640
13;grafton;4975
14;grafton;5018
15;grafton;4289
16;grafton;3831
17;grafton;4358
1;heavier;36
2;heavier;59
3;heavier;55
4;heavier;21
5;heavier;50
7;heavier;30
9;heavier;41
11;heavier;55
12;heavier;29
13;heavier;40
14;heavier;27
15;heavier;80
16;heavier;27
17;heavier;54
